GEOID,NAME,variable,estimate,moe
01,Alabama,B15003_022,546674,6282
02,Alaska,B15003_022,90161,2021
04,Arizona,B15003_022,911228,8067
05,Arkansas,B15003_022,308648,5611
06,California,B15003_022,5764827,21887
08,Colorado,B15003_022,1015989,7701
09,Connecticut,B15003_022,551459,4479
10,Delaware,B15003_022,129092,2791
11,District of Columbia,B15003_022,126808,2650
12,Florida,B15003_022,2938593,19010
13,Georgia,B15003_022,1377311,11045
15,Hawaii,B15003_022,218679,3054
16,Idaho,B15003_022,221092,3752
17,Illinois,B15003_022,1875011,11436
18,Indiana,B15003_022,770901,8093
19,Iowa,B15003_022,415048,4461
20,Kansas,B15003_022,410344,4799
21,Kentucky,B15003_022,447884,5432
22,Louisiana,B15003_022,499998,7776
23,Maine,B15003_022,199746,3589
24,Maryland,B15003_022,907523,7441
25,Massachusetts,B15003_022,1181453,8613
26,Michigan,B15003_022,1251117,8218
27,Minnesota,B15003_022,919059,5906
28,Mississippi,B15003_022,274566,5133
29,Missouri,B15003_022,770259,7317
30,Montana,B15003_022,163183,2709
31,Nebraska,B15003_022,269312,2976
32,Nevada,B15003_022,348505,4933
33,New Hampshire,B15003_022,223814,3634
34,New Jersey,B15003_022,1530150,10446
35,New Mexico,B15003_022,223875,3630
36,New York,B15003_022,2854930,13800
37,North Carolina,B15003_022,1448972,12259
38,North Dakota,B15003_022,109962,2158
39,Ohio,B15003_022,1438177,10071
40,Oklahoma,B15003_022,448366,5150
41,Oregon,B15003_022,627360,6095
42,Pennsylvania,B15003_022,1754311,11761
44,Rhode Island,B15003_022,155981,2906
45,South Carolina,B15003_022,638394,6606
46,South Dakota,B15003_022,116400,2277
47,Tennessee,B15003_022,826947,8325
48,Texas,B15003_022,3671085,20704
49,Utah,B15003_022,429936,5301
50,Vermont,B15003_022,103940,1971
51,Virginia,B15003_022,1304079,10510
53,Washington,B15003_022,1183949,8446
54,West Virginia,B15003_022,163598,3249
55,Wisconsin,B15003_022,806518,5951
56,Wyoming,B15003_022,69396,1711
72,Puerto Rico,B15003_022,443697,5212
