GEOID,NAME,variable,estimate,moe
01,Alabama,B19013_001,52035,377
02,Alaska,B19013_001,77790,1134
04,Arizona,B19013_001,61529,286
05,Arkansas,B19013_001,49475,431
06,California,B19013_001,78672,270
08,Colorado,B19013_001,75231,379
09,Connecticut,B19013_001,79855,587
10,Delaware,B19013_001,69110,1112
11,District of Columbia,B19013_001,90842,1580
12,Florida,B19013_001,57703,269
13,Georgia,B19013_001,61224,306
15,Hawaii,B19013_001,83173,983
16,Idaho,B19013_001,58915,599
17,Illinois,B19013_001,68428,267
18,Indiana,B19013_001,58235,305
19,Iowa,B19013_001,61836,294
20,Kansas,B19013_001,61091,354
21,Kentucky,B19013_001,52238,300
22,Louisiana,B19013_001,50800,360
23,Maine,B19013_001,59489,682
24,Maryland,B19013_001,87063,391
25,Massachusetts,B19013_001,84385,511
26,Michigan,B19013_001,59234,218
27,Minnesota,B19013_001,73382,297
28,Mississippi,B19013_001,46511,373
29,Missouri,B19013_001,57290,288
30,Montana,B19013_001,56539,637
31,Nebraska,B19013_001,63015,563
32,Nevada,B19013_001,62043,445
33,New Hampshire,B19013_001,77923,846
34,New Jersey,B19013_001,85245,402
35,New Mexico,B19013_001,51243,514
36,New York,B19013_001,71117,266
37,North Carolina,B19013_001,56642,280
38,North Dakota,B19013_001,65315,840
39,Ohio,B19013_001,58116,228
40,Oklahoma,B19013_001,53840,375
41,Oregon,B19013_001,65667,390
42,Pennsylvania,B19013_001,63627,256
44,Rhode Island,B19013_001,70305,949
45,South Carolina,B19013_001,54864,343
46,South Dakota,B19013_001,59896,725
47,Tennessee,B19013_001,54833,285
48,Texas,B19013_001,63826,218
49,Utah,B19013_001,74197,508
50,Vermont,B19013_001,63477,710
51,Virginia,B19013_001,76398,361
53,Washington,B19013_001,77006,296
54,West Virginia,B19013_001,48037,616
55,Wisconsin,B19013_001,63293,303
56,Wyoming,B19013_001,65304,1056
72,Puerto Rico,B19013_001,21058,186
