GEOID,NAME,variable,estimate,moe
01,Alabama,B17001_002,762642,11016
02,Alaska,B17001_002,74369,3007
04,Arizona,B17001_002,990528,12842
05,Arkansas,B17001_002,470190,8038
06,California,B17001_002,4853434,39919
08,Colorado,B17001_002,544232,9500
09,Connecticut,B17001_002,339156,7695
10,Delaware,B17001_002,107641,4332
11,District of Columbia,B17001_002,103391,3390
12,Florida,B17001_002,2772939,26520
13,Georgia,B17001_002,1461572,17326
15,Hawaii,B17001_002,127971,4297
16,Idaho,B17001_002,205676,5392
17,Illinois,B17001_002,1488670,18242
18,Indiana,B17001_002,838149,12468
19,Iowa,B17001_002,339090,6616
20,Kansas,B17001_002,323644,6562
21,Kentucky,B17001_002,717895,10991
22,Louisiana,B17001_002,845230,12732
23,Maine,B17001_002,144384,3764
24,Maryland,B17001_002,531553,8805
25,Massachusetts,B17001_002,653454,10187
26,Michigan,B17001_002,1337256,14613
27,Minnesota,B17001_002,511185,6996
28,Mississippi,B17001_002,564439,10503
29,Missouri,B17001_002,772992,11899
30,Montana,B17001_002,132476,3658
31,Nebraska,B17001_002,193820,4792
32,Nevada,B17001_002,381695,8350
33,New Hampshire,B17001_002,97418,3403
34,New Jersey,B17001_002,842704,14941
35,New Mexico,B17001_002,381026,7765
36,New York,B17001_002,2581048,26021
37,North Carolina,B17001_002,1411939,17543
38,North Dakota,B17001_002,77491,2645
39,Ohio,B17001_002,1546011,18637
40,Oklahoma,B17001_002,585520,8015
41,Oregon,B17001_002,506558,10177
42,Pennsylvania,B17001_002,1480430,18271
44,Rhode Island,B17001_002,117785,4786
45,South Carolina,B17001_002,726470,11777
46,South Dakota,B17001_002,108863,3307
47,Tennessee,B17001_002,965213,13412
48,Texas,B17001_002,3984260,39546
49,Utah,B17001_002,283360,7183
50,Vermont,B17001_002,64700,2292
51,Virginia,B17001_002,826708,14162
53,Washington,B17001_002,751044,12849
54,West Virginia,B17001_002,300152,6818
55,Wisconsin,B17001_002,620947,8262
56,Wyoming,B17001_002,61006,3007
72,Puerto Rico,B17001_002,1400958,10574
