GEOID,NAME,variable,estimate,moe
01,Alabama,B15003_001,3344006,1279
02,Alaska,B15003_001,483436,429
04,Arizona,B15003_001,4846056,558
05,Arkansas,B15003_001,2026722,1113
06,California,B15003_001,26665143,1135
08,Colorado,B15003_001,3900754,1046
09,Connecticut,B15003_001,2489205,345
10,Delaware,B15003_001,679870,205
11,District of Columbia,B15003_001,501986,68
12,Florida,B15003_001,15255326,1702
13,Georgia,B15003_001,6996425,2142
15,Hawaii,B15003_001,996423,187
16,Idaho,B15003_001,1145344,845
17,Illinois,B15003_001,8686700,1237
18,Indiana,B15003_001,4466180,1251
19,Iowa,B15003_001,2104864,892
20,Kansas,B15003_001,1911990,1153
21,Kentucky,B15003_001,3034491,1445
22,Louisiana,B15003_001,3139520,1281
23,Maine,B15003_001,982385,504
24,Maryland,B15003_001,4164698,731
25,Massachusetts,B15003_001,4815331,646
26,Michigan,B15003_001,6853674,796
27,Minnesota,B15003_001,3802438,996
28,Mississippi,B15003_001,1983112,1576
29,Missouri,B15003_001,4176792,1622
30,Montana,B15003_001,734688,716
31,Nebraska,B15003_001,1259540,702
32,Nevada,B15003_001,2093820,511
33,New Hampshire,B15003_001,971162,494
34,New Jersey,B15003_001,6169501,500
35,New Mexico,B15003_001,1415298,944
36,New York,B15003_001,13649157,1004
37,North Carolina,B15003_001,7096773,1493
38,North Dakota,B15003_001,497525,583
39,Ohio,B15003_001,8014966,1115
40,Oklahoma,B15003_001,2611680,1017
41,Oregon,B15003_001,2944830,938
42,Pennsylvania,B15003_001,8989998,918
44,Rhode Island,B15003_001,741370,428
45,South Carolina,B15003_001,3512626,1119
46,South Dakota,B15003_001,580244,692
47,Tennessee,B15003_001,4649847,1349
48,Texas,B15003_001,18449851,2584
49,Utah,B15003_001,1868472,685
50,Vermont,B15003_001,442089,398
51,Virginia,B15003_001,5831949,1829
53,Washington,B15003_001,5199771,913
54,West Virginia,B15003_001,1283869,894
55,Wisconsin,B15003_001,3982118,781
56,Wyoming,B15003_001,392819,895
72,Puerto Rico,B15003_001,2331294,261
