GEOID,NAME,variable,estimate,moe
01,Alabama,B01003_001,4893186,NA
02,Alaska,B01003_001,736990,NA
04,Arizona,B01003_001,7174064,NA
05,Arkansas,B01003_001,3011873,NA
06,California,B01003_001,39346023,NA
08,Colorado,B01003_001,5684926,NA
09,Connecticut,B01003_001,3570549,NA
10,Delaware,B01003_001,967679,NA
11,District of Columbia,B01003_001,701974,NA
12,Florida,B01003_001,21216924,NA
13,Georgia,B01003_001,10516579,NA
15,Hawaii,B01003_001,1420074,NA
16,Idaho,B01003_001,1754367,NA
17,Illinois,B01003_001,12716164,NA
18,Indiana,B01003_001,6696893,NA
19,Iowa,B01003_001,3150011,NA
20,Kansas,B01003_001,2912619,NA
21,Kentucky,B01003_001,4461952,NA
22,Louisiana,B01003_001,4664616,NA
23,Maine,B01003_001,1340825,NA
24,Maryland,B01003_001,6037624,NA
25,Massachusetts,B01003_001,6873003,NA
26,Michigan,B01003_001,9973907,NA
27,Minnesota,B01003_001,5600166,NA
28,Mississippi,B01003_001,2981835,NA
29,Missouri,B01003_001,6124160,NA
30,Montana,B01003_001,1061705,NA
31,Nebraska,B01003_001,1923826,NA
32,Nevada,B01003_001,3030281,NA
33,New Hampshire,B01003_001,1355244,NA
34,New Jersey,B01003_001,8885418,NA
35,New Mexico,B01003_001,2097021,NA
36,New York,B01003_001,19514849,NA
37,North Carolina,B01003_001,10386227,NA
38,North Dakota,B01003_001,760394,NA
39,Ohio,B01003_001,11675275,NA
40,Oklahoma,B01003_001,3949342,NA
41,Oregon,B01003_001,4176346,NA
42,Pennsylvania,B01003_001,12794885,NA
44,Rhode Island,B01003_001,1057798,NA
45,South Carolina,B01003_001,5091517,NA
46,South Dakota,B01003_001,879336,NA
47,Tennessee,B01003_001,6772268,NA
48,Texas,B01003_001,28635442,NA
49,Utah,B01003_001,3151239,NA
50,Vermont,B01003_001,624340,NA
51,Virginia,B01003_001,8509358,NA
53,Washington,B01003_001,7512465,NA
54,West Virginia,B01003_001,1807426,NA
55,Wisconsin,B01003_001,5806975,NA
56,Wyoming,B01003_001,581348,NA
72,Puerto Rico,B01003_001,3255642,NA
